primary_key,event_time,less_than_1h_ocean,inland,island,near_bay,near_ocean,median_house_value,median_house_age,total_households,bedrooms_per_household,encoded_locality
0,2024-01-27 08:14:27.928568064,0,0,0,0,0,192184.22130584193,20-29,494,1.116721402963219,477.8615120274914
28 Palms,2024-01-27 08:14:27.928568064,1,0,0,0,0,222200.0,20-29,923,1.017334777898158,12.0
Acorn Industrial,2024-01-27 08:14:27.928568064,0,0,0,1,0,81300.0,50-59,147,1.6598639455782314,1.0
Adams Hill,2024-01-27 08:14:27.928568064,1,0,0,0,0,250733.33333333334,30-39,494,1.0346491359028593,260.0
Agua Mansa Industrial Corridor,2024-01-27 08:14:27.928568064,0,1,0,0,0,112300.0,10-19,516,1.1027131782945736,627.0
Al Tahoe,2024-01-27 08:14:27.928568064,0,1,0,0,0,109180.0,20-29,249,1.6417394757779966,97.0
Alamitos Beach,2024-01-27 08:14:27.928568064,0,0,0,0,1,188194.11764705883,30-39,664,1.1174091822147518,275.0
Alessandro,2024-01-27 08:14:27.928568064,0,1,0,0,0,68075.0,30-39,408,1.0555513302046085,629.0
Alessandro Heights,2024-01-27 08:14:27.928568064,0,1,0,0,0,315200.0,0-9,1107,1.066847335140018,551.0
Alhambra Triangle,2024-01-27 08:14:27.928568064,0,1,0,0,0,88850.0,40-49,382,1.1147785211131813,595.0
Alice,2024-01-27 08:14:27.928568064,0,0,0,1,0,404300.0,30-39,483,1.020703933747412,80.0
Allied Gardens,2024-01-27 08:14:27.928568064,0,0,0,0,1,172872.72727272726,20-29,362,1.0150517386014934,671.0
Almaden,2024-01-27 08:14:27.928568064,1,0,0,0,0,394811.22222222225,10-19,639,1.0161992441484602,785.0
Almaden - Clara Filice,2024-01-27 08:14:27.928568064,1,0,0,0,0,219050.0,20-29,535,1.061494701954256,785.0
Almond Tree,2024-01-27 08:14:27.928568064,0,1,0,0,0,107450.0,10-19,408,0.9670619469026549,595.0
Almonte,2024-01-27 08:14:27.928568064,0,0,0,1,0,337700.0,40-49,376,1.0307484164565524,396.0
Alta Loma,2024-01-27 08:14:27.928568064,0,1,0,0,0,158800.0,20-29,524,0.9847328244274809,625.0
Alta Mesa,2024-01-27 08:14:27.928568064,0,0,0,0,1,308150.0,20-29,297,1.0266850746627532,772.0
Alta Vista Homeowners Association,2024-01-27 08:14:27.928568064,1,0,0,0,0,275900.0,30-39,512,0.984375,867.0
Alum Rock,2024-01-27 08:14:27.928568064,1,0,0,0,0,210539.6551724138,20-29,590,1.0190960830004274,785.0344827586207
Alviso,2024-01-27 08:14:27.928568064,1,0,0,0,0,135250.0,10-19,284,1.1666388657214344,785.0
Amber Hills,2024-01-27 08:14:27.928568064,0,1,0,0,0,140700.0,10-19,267,0.9176029962546817,633.0
Amberton,2024-01-27 08:14:27.928568064,0,1,0,0,0,164800.0,10-19,338,0.9813392274675093,196.0
American River Canyon,2024-01-27 08:14:27.928568064,0,1,0,0,0,390800.0,10-19,627,0.0,604.0
Anaheim Hills,2024-01-27 08:14:27.928568064,1,0,0,0,0,310639.17391304346,10-19,556,1.0601241468753997,488.0
Anaheim Resort,2024-01-27 08:14:27.928568064,1,0,0,0,0,183284.61538461538,20-29,561,1.0591495303934426,494.46153846153845
Antelope Woods,2024-01-27 08:14:27.928568064,0,1,0,0,0,116950.0,10-19,582,1.04276161214531,531.0
Aquatic Park,2024-01-27 08:14:27.928568064,0,0,0,1,0,140600.0,50-59,128,0.9921875,0.0
